med_name,med_manufacturer,components,comp
ZOVAX 500MG TABLET,DEYS,Amoxicillin 500 MG ,
OPARA SEMI TABLET,WALLACE,Acetaminophen 650 MG,
DOLIZA ER 650MG TABLET,RANBAXY,Acetaminophen 650 MG,
ACTMIN 650MG TABLET,PRORIENT,Acetaminophen 650 MG,
SAVE LI 650MG TABLET,AXENIC HEALTH,Acetaminophen 650 MG,
TYLENOL 650MG TABLET,HEALTH CARE,Acetaminophen 650 MG,
OPIBIND P TABLET,GLENWOOD BIOTECH PVT LIMITED,"Acetaminophen 325 MG,Tramadol 37.5 MG",
NOCDOL P TABLET,SPANKER BIOTECH,"Acetaminophen 325 MG,Tramadol 37.5 MG",
DOLCET TABLET,MICRO LABS LIMITED,"Acetaminophen 325 MG,Tramadol 37.5 MG",
DOLOSPAN P FIZZ 15S TABLET,EMCURE PHARMACEUTICALS LTD,"Acetaminophen 325 MG,Tramadol 37.5 MG",
DUBIX TABLET,STRIDES,"Acetaminophen 325 MG,Tramadol 37.5 MG",
DURACET TABLET,RHINE BIOGENICS,"Acetaminophen 325 MG,Tramadol 37.5 MG",
DELPODOL TABLET,DELCURE LIFESCIENCES LTD,"Acetaminophen 325 MG,Tramadol 37.5 MG",
CYMOL A TABLET,EAST INDIA PHARMA,"Acetaminophen 325 MG,Tramadol 37.5 MG",
CYPREMAL TABLET,STAUNCH PHARMA,"Acetaminophen 325 MG,Tramadol 37.5 MG",
ESCOFLAM TABLET,AESCUL PHARMA,"Acetaminophen 325 MG,Tramadol 37.5 MG",
ACHIDOL TABLET,ACHILLES HEALTHCARE PVT LTD,"Acetaminophen 325 MG,Tramadol 37.5 MG",
AKSITRAM EF TABLET,AKSIGEN,"Acetaminophen 325 MG,Tramadol 37.5 MG",
ALTRAFIZ TABLET,FIZIKEM,"Acetaminophen 325 MG,Tramadol 37.5 MG",
ALTRANOVA TABLET,ASTRANOVA BIOTECH,"Acetaminophen 325 MG,Tramadol 37.5 MG",
BKDOL TABLET,BIOKINDLE LIFESCIENCES PVT LTD,"Acetaminophen 325 MG,Tramadol 37.5 MG",
BIOAPAP T TABLET,CERA BIOLOGICALS,"Acetaminophen 325 MG,Tramadol 37.5 MG",
G DOL CAPSULE,GRACE DRUGS,"Acetaminophen 325 MG,Tramadol 37.5 MG",
PARADOL TABLET,KUKJE PHARM,"Acetaminophen 325 MG,Tramadol 37.5 MG",
PAXMAX TABLET,MOLEKULE,"Acetaminophen 325 MG,Tramadol 37.5 MG",
PENDOL P TABLET,SYSWIN PHARMA,"Acetaminophen 325 MG,Tramadol 37.5 MG",
OPT 250MG TABLET,SEARCH ORBIS PHARMA,Acetazolamide 250 MG,
O MIDE 250MG TABLET,OPTHO REMEDIES,Acetazolamide 250 MG,
DIAMOX TABLET,PFIZER LIMITED,Acetazolamide 250 MG,
ACETAMIDE 250MG TABLET,MICRO LABS LIMITED,Acetazolamide 250 MG,
ACETREX 250MG TABLET,ZEE LABORATORIES LTD,Acetazolamide 250 MG,
ACETA SR 250MG TABLET,MMATRICS PHARMA,Acetazolamide 250 MG,
AC MOX 250MG TABLET,OPTICA PHARMACETICALS,Acetazolamide 250 MG,
ACTAMID TABLET,JAWA PHARMA,Acetazolamide 250 MG,
CAP SR 250MG TABLET,SUNWAYS INDIA,Acetazolamide 250 MG,
BELL ZOLAMIDE TABLET,BELL PHARMA,Acetazolamide 250 MG,
AT ZOL 250MG TABLET,MEDIVISION PHARMACO,Acetazolamide 250 MG,
AVVA 250MG TABLET,INTAS PHARMACEUTICALS LTD,Acetazolamide 250 MG,
AVVA SR TABLET,INTAS PHARMACEUTICALS LTD,Acetazolamide 250 MG,
GLUMOX 250MG TABLET,PHARMTAK OPTHALAMICS INDIA PVT LTD,Acetazolamide 250 MG,
IOMIDE 250MG TABLET,HI CARE PHARMA,Acetazolamide 250 MG,
IOPAR SR TABLET,FDC LIMITED,Acetazolamide 250 MG,
PRESS DT TABLET,ENTOD PHARMACEUTICALS LTD,Acetazolamide 250 MG,
SENZOMIDE TABLET,SENSES PHARMACEUTICALS LTD,Acetazolamide 250 MG,
ZAC 250MG TABLET,OSCAR REMEDIES,Acetazolamide 250 MG,
LOWPHOS TABLET,ATLANTIC PHARMA,Calcium acetate 667 MG,
CLACETATE TABLET,NEPHUROCARE PHARMA,Calcium acetate 667 MG,
CONCIPHOS TABLET,CONCORD DRUGS,Calcium acetate 667 MG,
FOSBIND TABLET,NOVARTIS,Calcium acetate 667 MG,
CALATE TABLET,BIOVIZ,Calcium acetate 667 MG,
CALCIBIND TABLET,REPENS HEALTHCARE INDIA PVT LTD,Calcium acetate 667 MG,
HYPO-PHOS 667MG TABLET,SAMARTH,Calcium acetate 667 MG,
LANUM TABLET,LA RENON HEALTHCARE PVT LTD,Calcium acetate 667 MG,
PHOCEL TABLET,CELERA PHARMA,Calcium acetate 667 MG,
PHOSTAT TABLET,ZYDUS HEALTHCARE LTD,Calcium acetate 667 MG,
PHOSNORM TABLET,AKUMS DRUGS & PHARMACEUTICALS,Calcium acetate 667 MG,
PHOSBI TABLET,IPCA LABORATORIES LTD,Calcium acetate 667 MG,
PHOSCHEK TABLET,ALBUS HEALTHCARE,Calcium acetate 667 MG,
PHOSNIL TABLET,RENAKART LIFE SCIENCES PVT LTD,Calcium acetate 667 MG,
RENAPHOS TABLET,RPG LIFESCIENCES LTD,Calcium acetate 667 MG,
SEPTACAL TABLET,SEPTALYST LIFESCIENCES PVT LTD,Calcium acetate 667 MG,
ZEROFOS TABLET,ALNICHE LIFE SCIENCES,Calcium acetate 667 MG,
ZIMVOX TABLET,MEXATO PHARMA,Calcium acetate 667 MG,
DOLO 650MG TABLET,MICRO LABS LIMITED,Paracetamol 650 MG ,
PARARITE 650 TABLET,MHS PHARMACEUTICALS,Paracetamol 650 MG ,
ALGINA 650MG TABLET,GENO PHARMA,Paracetamol 650 MG ,
CALPOL 650MG TABLET,GLAXO,Paracetamol 650 MG ,
DOLOPAR 650MG TABLET,MICRO LABS LIMITED,Paracetamol 650 MG ,
CROCIN 650MG TABLET,GSK,Paracetamol 650 MG ,
CRUXOL 650MG TABLET,ATLANTA BIOTEC,Paracetamol 650 MG ,
FEBREX 650MG TABLET,INDOCO REMEDIES LTD,Paracetamol 650 MG ,
FEPANIL 650MG TABLET,VERITAZ HEALTHCARE,Paracetamol 650 MG ,
METAPLUS 650MG TABLET,THEMIS MEDICARE,Paracetamol 650 MG ,
MACFAST 650MG TABLET,MACLEODS PHARMACEUTICALS LTD,Paracetamol 650 MG ,
MALIDENS 650MG TABLET,ABBOTT,Paracetamol 650 MG ,
PARACIP 650MG TABLET,CIPLA,Paracetamol 650 MG ,
PARAWEL 650MG TABLET,MED MANOR ORGANICS,Paracetamol 650 MG ,
PARAKLO 650MG TABLET,LANARK LAB,Paracetamol 650 MG ,
PMSON ER TABLET,UNISON,Paracetamol 650 MG ,
PYRIGESIC 650MG TABLET,EAST INDIA PHARMA,Paracetamol 650 MG ,
P-650MG TABLET,APEX,Paracetamol 650 MG ,
PACIMOL 650MG TABLET,IPCA LABORATORIES LTD,Paracetamol 650 MG ,
PACINOVA 650MG TABLET,IKON REMEDIES PVT LTD,Paracetamol 650 MG ,
NU- 650MG TABLET,DELVIN,Paracetamol 650 MG ,
TYFY 650MG TABLET,VANGUARD THERAPEUTICS PVT LTD,Paracetamol 650 MG ,
XYKAA RAPID 650MG TABLET,TROIKAA PHARMACEUTICALS LTD,Paracetamol 650 MG ,
XYKAA EXTEND 650MG TABLET,TROIKAA PHARMACEUTICALS LTD,Paracetamol 650 MG ,
XYKAA TD 650MG TABLET,TROIKAA PHARMACEUTICALS LTD,Paracetamol 650 MG ,
SUMO L ER 650 TABLET,ALKEM LABORATORIES LTD,Paracetamol 650 MG ,
SUMO L 650MG TABLET,ALKEM LABORATORIES LTD,Paracetamol 650 MG ,
RETOL DT 650 TABLET,OLCARE LABORATORIES,Paracetamol 650 MG ,
ACETO 650MG TABLET,SHIELD PHARMA,Paracetamol 650 MG ,
ACET 650MG TABLET,VANGUARD THERAPEUTICS PVT LTD,Paracetamol 650 MG ,
ARDEN 650MG TABLET,ADONIS,Paracetamol 650 MG ,
AMETOPAR 650 TABLET,GENERAL,Paracetamol 650 MG ,
ASPRO TABLET,PIRAMAL HEALTHCARE,Paracetamol 650 MG ,
DICLORAN A 650 TABLET,J B CHEMICALS,Paracetamol 650 MG ,
DOLOMINE 650 TABLET,ILLUMIN PHARMA,Paracetamol 650 MG ,
CROCIN ADVANCE 650MG TABLET,GSK,Paracetamol 650 MG ,
FEBRINIL 650MG TABLET,SVIZERA HEALTHCARE,Paracetamol 650 MG ,
FEBRINEST 650MG TABLET,NEST PHARMA,Paracetamol 650 MG ,
FELOK 650MG TABLET,AURZ PHARMACEUTICALS,Paracetamol 650 MG ,
FEPAMOL 650MG TABLET,EAST WEST PHARMA,Paracetamol 650 MG ,
FEVERA 650MG TABLET,GENERAL,Paracetamol 650 MG ,
FLUCOL 650MG TABLET,SKN ORGANICS,Paracetamol 650 MG ,
FLUMOL 650MG TABLET,ELDER,Paracetamol 650 MG ,
BETMOL 650MG TABLET,RICHFIELD INDIA PHARMACEUTICALS PVT LTD,Paracetamol 650 MG ,
MP MOL 650MG TABLET,MEDIWILL LIFE SCIENCES,Paracetamol 650 MG ,
LUPIPARA 650MG TABLET,LUPIN LTD,Paracetamol 650 MG ,
MEDOMOL 650MG TABLET,MEDOPHARM,Paracetamol 650 MG ,
HIPY 650MG TABLET,SALSIM PHARMA,Paracetamol 650 MG ,
PARA 650MG TABLET,GRAYANON,Paracetamol 650 MG ,
PARAFIZZ TABLET,CIPLA,Paracetamol 650 MG ,
PARACURE 650MG TABLET,DR CURE PHARMACEUTICALS,Paracetamol 650 MG ,
PARAFIZZ 650MG TABLET,CIPLA,Paracetamol 650 MG ,
PARAGIS 650MG TABLET,AIGIS BIOTEC,Paracetamol 650 MG ,
PARANEXT 650MG TABLET,BIONEXT PHARMA DIVISION,Paracetamol 650 MG ,
PARATEM 650MG TABLET,NEBULAE PHARMA,Paracetamol 650 MG ,
PARAGREAT 650MG TABLET,MANKIND,Paracetamol 650 MG ,
PARCEL 650MG TABLET,ROOTS LIFE SCIENCES,Paracetamol 650 MG ,
PAREXIA 650MG TABLET,HEAL INDIA LABORATORIES,Paracetamol 650 MG ,
PAT 650MG TABLET,PRIM RESEARCH LAB,Paracetamol 650 MG ,
PEEGEE 650MG TABLET,PRIM RESEARCH LAB,Paracetamol 650 MG ,
PM 600MG TABLET,COMMON WEALTH,Paracetamol 650 MG ,
PYRIFAST 650MG TABLET,BIOPLASMID HEALTHCARE,Paracetamol 650 MG ,
PYRO 650MG TABLET,ZOETIC FORMULATIONS,Paracetamol 650 MG ,
PYRODIP ER TABLET,FERVENT LIFE SCIENCES,Paracetamol 650 MG ,
PYXMOL 650MG TABLET,MEDICURE LIFE SCIENCES,Paracetamol 650 MG ,
PYXMOL DT 650MG TABLET,MEDISURGE HEALTHA CARE,Paracetamol 650 MG ,
ONPAR 650MG TABLET,MATRIX PHARMA CHEM,Paracetamol 650 MG ,
OROMOL 650MG DT TABLET,EMBIOTIC LABORATORIES,Paracetamol 650 MG ,
OROPYRIN 650MG TABLET,ORTIN,Paracetamol 650 MG ,
PACIMOL SL 650MG TABLET,IPCA LABORATORIES LTD,Paracetamol 650 MG ,
IFIMOL 650MG TABLET,J B CHEMICALS,Paracetamol 650 MG ,
LANOL ER 650MG TABLET,HETERO HEALTHCARE LIMITED,Paracetamol 650 MG ,
LANTO P TABLET,GLANTO PHARMA,Paracetamol 650 MG ,
TEMPRA 650MG TABLET,BIONOVA HEALTHCARE,Paracetamol 650 MG ,
VANDOL 650MG DT TABLET,SHIVA PHARMA,Paracetamol 650 MG ,
XTPARA 650MG TABLET,UNICHEM,Paracetamol 650 MG ,
XYTROY RAPID 650 TABLET,TROIKAA PHARMACEUTICALS LTD,Paracetamol 650 MG ,
STYMOL 650MG TABLET,STRIVEO HEALTHCARE PVT LTD,Paracetamol 650 MG ,
RUPAR 650MG TABLET,MEDISPAN,Paracetamol 650 MG ,
UNFLEM 650MG TABLET,CORONA REMEDIES PVT LTD,Paracetamol 650 MG ,
MOCET 10MG TABLET,MONOKEM LABS ,Levocetirizine 10 MG,
LCZ 10MG TABLET,RAPROSS ,Levocetirizine 10 MG,
LECY 10MG TABLET,BENNET PHARMACEUTICALS ,Levocetirizine 10 MG,
LESTAR 10MG TABLET,ORGANIC LAB,Levocetirizine 10 MG,
LEVOSIZ 10MG TABLET,SYSTOPIC ,Levocetirizine 10 MG,
LEVOCAA 10MG TABLET,SCINTICAA PHARMA,Levocetirizine 10 MG,
LEVODIL 10MG TABLET,PSYCHOTROPICS INDIA LTD ,Levocetirizine 10 MG,
LEZYNCET 10MG TABLET,UNICHEM ,Levocetirizine 10 MG,
LIVEMIK 10MG TABLET,MIKKU YOKKO ,Levocetirizine 10 MG,
LYCET 10MG TABLET ,ANGEAS HEALTH CARE LTD,Levocetirizine 10 MG,
ORIEL 10MG TABLET,INTAS PHARMACEUTICALS LTD,Levocetirizine 10 MG,
EKON XL TABLET,BLUE CROSS,Levocetirizine 10 MG,
COVEL 10MG TABLET,GLOWDERMA ,Levocetirizine 10 MG,
1 AL 10MG TABLET,FDC LIMITED ,Levocetirizine 10 MG,
ALLELIN 10MG TABLET,LINCOLN PHARMACEUTICALS,Levocetirizine 10 MG,
ALVIZINE 10MG TABLET,BIOS LABS,Levocetirizine 10 MG,
CARYZINE MD 10MG TABLET,CARYOTRA LIFESCIENCES INDIA PVT LTD,Levocetirizine 10 MG,
CETIMAX 10MG TABLET,ZYDUS HEALTHCARE LTD,Levocetirizine 10 MG,
CETLEVO 10MG TABLET,AMPRA PHARMA,Levocetirizine 10 MG,
HHLEVO 10MG TABLET,HEGDE AND HEGDE PHARMACEUTICA LLP,Levocetirizine 10 MG,
HISTACROSS L TABLET,AMWILL HEALTH CARE,Levocetirizine 10 MG,
HISTABAN 10MG TABLET,GRACIOUS PHARMA ,Levocetirizine 10 MG,
HIVESET L 10MG TABLET,SG LIFECARE PVT LTD ,Levocetirizine 10 MG,
LAVETA 10MG TABLET,ALEMBIC PHARMACEUTICALS LTD,Levocetirizine 10 MG,
SAFECET 10MG TABLET ,TALENT INDIA ,Levocetirizine 10 MG,
SUPRACIT TABLET ,EAST WEST PHARMA,Levocetirizine 10 MG,
ZYRHIST LC TABLET ,TAG HEALTHCARE,Levocetirizine 10 MG,
TECZINE 10MG TABLET,SUN PHARMACEUTICAL INDUSTRIES LTD,Levocetirizine 10 MG,
VELCET 10MG TABLET ,CALIBAR PHARMA ,Levocetirizine 10 MG,
VOCET L TABLET,SALUS LIFESCIENCES ,Levocetirizine 10 MG,
WELZIN 10MG TABLET,FORMAN MEDICS PVT LTD ,Levocetirizine 10 MG,
WINCIT 10MG TABLET ,SYSWIN PHARMA ,Levocetirizine 10 MG,
XEVOR 10MG TABLET,ABBOTT,Levocetirizine 10 MG,
XYZAL 10MG TABLET,UCB,Levocetirizine 10 MG,
ACETYL SALICYLIC ACID 50MG TABLET ,ZYDUS HEALTHCARE LTD ,Aspirin 50 MG,
ASA 50MG TABLET ,ZYDUS HEALTHCARE LTD ,Aspirin 50 MG,
ASPITEC 50MG TABLET ,ETHYPHARMA ,Aspirin 50 MG,
DELAY RELEASE ASPRIN 50MG TABLET ,ZYDUS HEALTHCARE LTD ,Aspirin 50 MG,
COTASPIRIN 50MG TABLET ,NATCO ,Aspirin 50 MG,
COVASA 50MG TABLET ,LIVA HEALTHCARE ,Aspirin 50 MG,
GR ASA 50MG 28S TABLET ,GERMAN REMEDIES ,Aspirin 50 MG,
COVASA 150MG TABLET ,LIVA HEALTHCARE ,Aspirin 150 MG,
CV SPRIN 150MG TABLET ,CADILA PHARMACEUTICALS LTD ,Aspirin 150 MG,
DELISPRIN 150MG TABLET ,ARISTO ,Aspirin 150 MG,
ECOSPRIN 150MG TABLET ,USV PVT LTD ,Aspirin 150 MG,
AMBOXY TABLET ,UNIMARCK PHARMA INDIA LTD ,Aspirin 150 MG,
ASPEEDAY ER 150MG TABLET ,SHRINIVAS LAB ,Aspirin 150 MG,
ASPITEC 150MG TABLET ,ETHYPHARMA ,Aspirin 150 MG,
LOPRIN DS 162.5MG ,UNICHEM ,Aspirin 150 MG,
LOPRIN DS TABLET ,UNICHEM ,Aspirin 150 MG,
ZOSPRIN 150MG TABLET ,MEDLEY ,Aspirin 150 MG,
COOL RAB 20MG TABLET ,MINOVA LIFESCIENCES ,Rabeprazole 20 MG,
COOLBURN 20MG TABLET ,BOND HEALTH CARE ,Rabeprazole 20 MG,
CYNORA 20MG TABLET ,CYNOSURE ORGANICS ,Rabeprazole 20 MG,
CYRA 20MG TABLET ,SYSTOPIC ,Rabeprazole 20 MG,
DELRAB 20MG TABLET ,ZEM DELIGHT REMEDIES ,Rabeprazole 20 MG,
DEPUMP 20MG TABLET ,TABLETS INDIA ,Rabeprazole 20 MG,
DEREK 20MG TABLET ,ALBERT DAVID ,Rabeprazole 20 MG,
DIALOZ 20MG TABLET ,DIAL PHARMACEUTICALS ,Rabeprazole 20 MG,
DOMOL 20MG TABLET ,ADLEY FORMULATIONS ,Rabeprazole 20 MG,
DOMQ 20MG TABLET ,IQ MED HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
DREGO TABLET ,USV PVT LTD ,Rabeprazole 20 MG,
FLURAB 20MG TABLET ,FLUENSE PHARMACEUTICAL ,Rabeprazole 20 MG,
FRAB 20MG TABLET ,PALSON DERMA ,Rabeprazole 20 MG,
FREEZ 20MG TABLET ,VYPA LABORATORIES ,Rabeprazole 20 MG,
FRISBEE 20MG TABLET ,SANJIVANI PARANTERAL LTD ,Rabeprazole 20 MG,
FULLRAB 20MG TABLET ,STAYER PHARMA PVT LTD ,Rabeprazole 20 MG,
G8RAB 20MG TABLET ,INSPIRE LIFESCIENCES ,Rabeprazole 20 MG,
GASOTOP 20MG TABLET ,AYTAS PHARMA ,Rabeprazole 20 MG,
GASTOC 20MG TABLET ,KAPS LIFE SCIENCES ,Rabeprazole 20 MG,
GAYACID 20MG TABLET ,,Rabeprazole 20 MG,
 GAYLORAB 20MG TABLET ,GAYLON HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
GENPRAZ 20MG TABLET ,MACLEODS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
GEOFLUX 20MG TABLET ,ATLANTA BIOTEC ,Rabeprazole 20 MG,
GEORAB TABLET ,SS HEALTH CARE ,Rabeprazole 20 MG,
GERAB 20MG TABLET ,GENERA LABS ,Rabeprazole 20 MG,
GERD 20MG TABLET ,HEALTH CARE ,Rabeprazole 20 MG,
GLINZO 20MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
GLORAB 20MG TABLET ,GLOVEL HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
DURAB 20MG TABLET ,UNIPHAR ,Rabeprazole 20 MG,
ECOPAN 20MG TABLET ,DRUTO ,Rabeprazole 20 MG,
ECORAB 20MG TABLET ,INDIABULLS PHARMA LTD ,Rabeprazole 20 MG,
ECRAB 20MG TABLET ,ICON LIFE SCIENCES ,Rabeprazole 20 MG,
EGRAB 20MG TABLET ,EG LIFECARE SERVICES PVT LTD ,Rabeprazole 20 MG,
EKROZ 20MG TABLET ,EVAXO PHARMA ,Rabeprazole 20 MG,
ELERAB 20MG TABLET ,ELIXIR PHARMA ,Rabeprazole 20 MG,
ELRAB 20MG TABLET ,CAPTAB BIOTEC ,Rabeprazole 20 MG,
ENTORAB 20MG TABLET ,JUPITER PHARMA ,Rabeprazole 20 MG,
EPIDOR 20MG TABLET ,EPIONE PHARMA ,Rabeprazole 20 MG,
EPSIRAB 20MG TABLET ,INIZIA HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
ERZOL 20MG TABLET ,ERGOS LIFE SCIENCES ,Rabeprazole 20 MG,
 ESRAB 20MG TABLET ,ESMATRIX LIFESCIENCES ,Rabeprazole 20 MG,
ERB 20MG TABLET ,LYPHO MED REMEDIES PVT LTD ,Rabeprazole 20 MG,
ERIRAB 20MG TABLET ,ERINYLE HEALTH CARE PVT LTD ,Rabeprazole 20 MG,
FAITHRAB 20MG TABLET ,FAITH PHARMA ,Rabeprazole 20 MG,
FAVORATE TABLET ,LIFE SCIENCES ,Rabeprazole 20 MG,
